id,name,image,area,age,url,event_start_month,event_start_day,event_end_month,event_end_day,app_start_month,app_start_day,app_end_month,app_end_day,organizer,fee,feature
23,子どもの館 バックヤードツアー,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,市外,小学4〜6年生,https://www.gururich-kitaq.com/search?q=子どもの館,10,7,,,,,,,,子ども無料、大人500円,🍁秋のわくわく特集
24,白島展示館 昆虫採集,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,八幡西区,高校生,https://www.gururich-kitaq.com/search?q=白島展示館,9,14,,,,,,,北九州市（マーケティング課）,無料,🍁秋のわくわく特集
25,山田緑地 絵本の読み聞かせ,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,小倉北区,その他,https://www.gururich-kitaq.com/search?q=山田緑地,9,17,,,,,,,北九州市観光協会,500円,🍁秋のわくわく特集
26,いのちのたび博物館 自然観察ハイキング,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,門司区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=いのちのたび博物館,11,9,11,12,,,,,夏クエスト実行委員会,無料,🍁秋のわくわく特集
27,山田緑地 水遊び,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,戸畑区,その他,https://www.gururich-kitaq.com/search?q=山田緑地,11,9,11,11,10,3,10,13,北九州市（マーケティング課）,子ども無料、大人500円,🍁秋のわくわく特集
28,到津の森公園 プログラミング体験,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,市外,未就学児,https://www.gururich-kitaq.com/search?q=到津の森公園,9,1,9,4,,,,,北九州市（マーケティング課）,無料,🍁秋のわくわく特集
29,白島展示館 自然観察ハイキング,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,戸畑区,高校生,https://www.gururich-kitaq.com/search?q=白島展示館,11,12,,,,,,,西レシピプロジェクト,1000円,🍁秋のわくわく特集
30,到津の森公園 絵本の読み聞かせ,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,戸畑区,高校生,https://www.gururich-kitaq.com/search?q=到津の森公園,10,5,,,,,,,,500円,🍁秋のわくわく特集
31,いのちのたび博物館 プログラミング体験,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,八幡東区,小学1〜3年生,https://www.gururich-kitaq.com/search?q=いのちのたび博物館,9,21,,,8,9,8,19,,無料,🍁秋のわくわく特集
32,勝山公園 昆虫採集,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,戸畑区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=勝山公園,9,15,,,,,,,北九州市,子ども無料、大人500円,🍁秋のわくわく特集
33,山田緑地 工作教室,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,小倉南区,未就学児,https://www.gururich-kitaq.com/search?q=山田緑地,9,5,,,8,10,8,20,南北交流プログラム実行委員会,無料,🍁秋のわくわく特集
34,響灘緑地グリーンパーク 昆虫採集,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,八幡西区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,9,8,,,8,13,8,23,西レシピプロジェクト,500円,🍁秋のわくわく特集
35,到津の森公園 星空観察会,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,八幡西区,中学生,https://www.gururich-kitaq.com/search?q=到津の森公園,10,4,10,6,,,,,,無料,🍁秋のわくわく特集
36,響灘緑地グリーンパーク 自然観察ハイキング,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,戸畑区,未就学児,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,9,4,,,,,,,西レシピプロジェクト,1000円,🍁秋のわくわく特集
37,響灘緑地グリーンパーク バックヤードツアー,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,八幡東区,その他,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,11,17,11,20,10,6,10,16,,無料,🍁秋のわくわく特集
38,響灘緑地グリーンパーク 自然観察ハイキング,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,戸畑区,中学生,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,9,15,,,8,9,8,19,北九州市（マーケティング課）,無料,🍁秋のわくわく特集
39,山田緑地 星空観察会,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,門司区,中学生,https://www.gururich-kitaq.com/search?q=山田緑地,11,14,,,,,,,南北交流プログラム実行委員会,500円,🍁秋のわくわく特集
40,ソラランド平尾台 工作教室,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,市外,中学生,https://www.gururich-kitaq.com/search?q=ソラランド平尾台,11,19,11,22,10,8,10,18,北九州市,無料,🍁秋のわくわく特集
41,門司港レトロ 自然観察ハイキング,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,小倉南区,小学1〜3年生,https://www.gururich-kitaq.com/search?q=門司港レトロ,10,7,10,10,,,,,夏クエスト実行委員会,無料,🍁秋のわくわく特集
42,皿倉山 アスレチックチャレンジ,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,小倉北区,小学1〜3年生,https://www.gururich-kitaq.com/search?q=皿倉山,9,15,,,8,10,8,20,北九州市観光協会,500円,🍁秋のわくわく特集
43,山田緑地 トロッコ列車体験,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,市外,その他,https://www.gururich-kitaq.com/search?q=山田緑地,11,2,,,10,2,10,12,北九州市,1000円,🍁秋のわくわく特集
44,響灘緑地グリーンパーク トロッコ列車体験,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,八幡西区,未就学児,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,11,1,,,10,15,10,25,,子ども無料、大人500円,🔬サイエンス大作戦
45,山田緑地 化石発掘体験,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,小倉南区,未就学児,https://www.gururich-kitaq.com/search?q=山田緑地,10,24,,,9,14,9,24,南北交流プログラム実行委員会,無料,🔬サイエンス大作戦
46,山田緑地 絵本の読み聞かせ,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,小倉南区,その他,https://www.gururich-kitaq.com/search?q=山田緑地,9,25,,,8,8,8,18,南北交流プログラム実行委員会,無料,🔬サイエンス大作戦
47,勝山公園 水遊び,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,市外,高校生,https://www.gururich-kitaq.com/search?q=勝山公園,9,27,,,,,,,北九州市（マーケティング課）,500円,🔬サイエンス大作戦
48,いのちのたび博物館 バックヤードツアー,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,八幡西区,小学1〜3年生,https://www.gururich-kitaq.com/search?q=いのちのたび博物館,10,15,10,17,,,,,西レシピプロジェクト,無料,🔬サイエンス大作戦
49,ソラランド平尾台 水遊び,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,小倉北区,未就学児,https://www.gururich-kitaq.com/search?q=ソラランド平尾台,11,23,11,26,10,5,10,15,,1000円,🔬サイエンス大作戦
50,ソラランド平尾台 自然観察ハイキング,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,八幡西区,中学生,https://www.gururich-kitaq.com/search?q=ソラランド平尾台,10,23,,,9,5,9,15,西レシピプロジェクト,無料,🔬サイエンス大作戦
51,平尾台 自然観察ハイキング,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,八幡西区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=平尾台,10,5,,,9,9,9,19,北九州市（マーケティング課）,無料,🔬サイエンス大作戦
52,皿倉山 お料理教室,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,若松区,中学生,https://www.gururich-kitaq.com/search?q=皿倉山,11,17,,,,,,,西レシピプロジェクト,1000円,🔬サイエンス大作戦
53,響灘緑地グリーンパーク アスレチックチャレンジ,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,八幡西区,高校生,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,9,24,9,27,8,9,8,19,,無料,⛺キャンプ特集
54,白島展示館 自然観察ハイキング,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,戸畑区,小学1〜3年生,https://www.gururich-kitaq.com/search?q=白島展示館,10,21,,,9,7,9,17,北九州市,1000円,⛺キャンプ特集
55,ソラランド平尾台 水遊び,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,門司区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=ソラランド平尾台,11,12,,,10,6,10,16,南北交流プログラム実行委員会,1000円,⛺キャンプ特集
56,響灘緑地グリーンパーク 星空観察会,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,八幡西区,小学1〜3年生,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,10,23,10,25,,,,,南北交流プログラム実行委員会,子ども無料、大人500円,⛺キャンプ特集
57,平尾台 水遊び,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,八幡西区,中学生,https://www.gururich-kitaq.com/search?q=平尾台,10,16,10,18,,,,,北九州市観光協会,無料,⛺キャンプ特集
58,門司港レトロ 星空観察会,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,門司区,小学1〜3年生,https://www.gururich-kitaq.com/search?q=門司港レトロ,10,10,10,13,,,,,,無料,⛺キャンプ特集
59,平尾台 プログラミング体験,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,市外,未就学児,https://www.gururich-kitaq.com/search?q=平尾台,10,7,,,,,,,南北交流プログラム実行委員会,無料,⛺キャンプ特集
60,平尾台 星空観察会,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,戸畑区,小学1〜3年生,https://www.gururich-kitaq.com/search?q=平尾台,9,1,9,2,,,,,,無料,⛺キャンプ特集
61,山田緑地 トロッコ列車体験,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,小倉南区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=山田緑地,10,7,,,9,8,9,18,北九州市観光協会,無料,⛺キャンプ特集
62,いのちのたび博物館 トロッコ列車体験,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,八幡東区,未就学児,https://www.gururich-kitaq.com/search?q=いのちのたび博物館,10,16,,,,,,,北九州市,無料,⛺キャンプ特集
63,児童文化科学館 お料理教室,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,門司区,中学生,https://www.gururich-kitaq.com/search?q=児童文化科学館,9,10,9,13,,,,,南北交流プログラム実行委員会,子ども無料、大人500円,秋の味覚特集
64,勝山公園 自然観察ハイキング,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,小倉南区,未就学児,https://www.gururich-kitaq.com/search?q=勝山公園,10,23,10,24,,,,,,500円,秋の味覚特集
65,白島展示館 水遊び,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,小倉北区,未就学児,https://www.gururich-kitaq.com/search?q=白島展示館,11,12,,,,,,,北九州市,無料,秋の味覚特集
66,到津の森公園 昆虫採集,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,八幡東区,高校生,https://www.gururich-kitaq.com/search?q=到津の森公園,9,7,,,8,6,8,16,,無料,秋の味覚特集
67,白島展示館 化石発掘体験,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,戸畑区,高校生,https://www.gururich-kitaq.com/search?q=白島展示館,10,13,10,15,9,3,9,13,夏クエスト実行委員会,無料,秋の味覚特集
68,門司港レトロ 昆虫採集,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,小倉南区,小学1〜3年生,https://www.gururich-kitaq.com/search?q=門司港レトロ,10,21,,,,,,,,無料,秋の味覚特集
69,響灘緑地グリーンパーク プログラミング体験,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,市外,中学生,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,10,4,,,,,,,,子ども無料、大人500円,秋の味覚特集
70,ソラランド平尾台 バックヤードツアー,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,八幡東区,中学生,https://www.gururich-kitaq.com/search?q=ソラランド平尾台,10,15,10,17,9,6,9,16,,無料,秋の味覚特集
71,平尾台 バックヤードツアー,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,八幡東区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=平尾台,9,4,,,,,,,,子ども無料、大人500円,秋の味覚特集
72,皿倉山 工作教室,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,小倉南区,中学生,https://www.gururich-kitaq.com/search?q=皿倉山,9,14,9,17,8,11,8,21,,1000円,秋の味覚特集
73,いのちのたび博物館 自然観察ハイキング,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,小倉南区,未就学児,https://www.gururich-kitaq.com/search?q=いのちのたび博物館,11,13,,,10,12,10,22,,500円,秋の味覚特集
74,ソラランド平尾台 昆虫採集,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,戸畑区,中学生,https://www.gururich-kitaq.com/search?q=ソラランド平尾台,11,22,,,,,,,南北交流プログラム実行委員会,無料,秋の味覚特集
75,白島展示館 アスレチックチャレンジ,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,門司区,中学生,https://www.gururich-kitaq.com/search?q=白島展示館,11,3,,,,,,,北九州市（マーケティング課）,無料,秋の味覚特集
76,白島展示館 水遊び,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,門司区,その他,https://www.gururich-kitaq.com/search?q=白島展示館,11,23,,,10,4,10,14,北九州市,子ども無料、大人500円,秋の味覚特集
77,平尾台 化石発掘体験,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,若松区,高校生,https://www.gururich-kitaq.com/search?q=平尾台,10,8,,,9,8,9,18,夏クエスト実行委員会,500円,秋の味覚特集
78,山田緑地 自然観察ハイキング,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,八幡西区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=山田緑地,11,3,,,10,12,10,22,,無料,秋の味覚特集
79,山田緑地 昆虫採集,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,若松区,中学生,https://www.gururich-kitaq.com/search?q=山田緑地,11,28,,,,,,,北九州市,無料,秋の味覚特集
80,皿倉山 バックヤードツアー,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,市外,未就学児,https://www.gururich-kitaq.com/search?q=皿倉山,11,21,,,,,,,夏クエスト実行委員会,1000円,秋の味覚特集
81,いのちのたび博物館 化石発掘体験,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,若松区,高校生,https://www.gururich-kitaq.com/search?q=いのちのたび博物館,10,12,,,,,,,,無料,秋の味覚特集
82,山田緑地 工作教室,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,門司区,未就学児,https://www.gururich-kitaq.com/search?q=山田緑地,11,28,,,,,,,北九州市観光協会,子ども無料、大人500円,秋の味覚特集
83,児童文化科学館 お料理教室,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,八幡東区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=児童文化科学館,11,18,,,10,9,10,19,夏クエスト実行委員会,子ども無料、大人500円,秋の味覚特集
84,山田緑地 昆虫採集,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,八幡東区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=山田緑地,9,20,,,,,,,北九州市観光協会,無料,秋の味覚特集
85,皿倉山 自然観察ハイキング,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,戸畑区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=皿倉山,10,27,,,,,,,西レシピプロジェクト,子ども無料、大人500円,秋の味覚特集
86,皿倉山 プログラミング体験,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,門司区,未就学児,https://www.gururich-kitaq.com/search?q=皿倉山,11,7,,,,,,,北九州市（マーケティング課）,無料,秋の味覚特集
87,門司港レトロ トロッコ列車体験,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,八幡西区,その他,https://www.gururich-kitaq.com/search?q=門司港レトロ,10,21,10,22,,,,,,1000円,
88,平尾台 アスレチックチャレンジ,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,戸畑区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=平尾台,11,17,,,,,,,西レシピプロジェクト,500円,
89,白島展示館 トロッコ列車体験,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,八幡西区,未就学児,https://www.gururich-kitaq.com/search?q=白島展示館,11,27,,,,,,,夏クエスト実行委員会,無料,
90,ソラランド平尾台 バックヤードツアー,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,八幡東区,未就学児,https://www.gururich-kitaq.com/search?q=ソラランド平尾台,11,3,,,10,2,10,12,,無料,
91,到津の森公園 化石発掘体験,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,小倉北区,その他,https://www.gururich-kitaq.com/search?q=到津の森公園,10,13,,,9,6,9,16,北九州市観光協会,無料,
92,皿倉山 バックヤードツアー,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,市外,小学4〜6年生,https://www.gururich-kitaq.com/search?q=皿倉山,10,7,10,10,9,15,9,25,北九州市（マーケティング課）,無料,
93,到津の森公園 アスレチックチャレンジ,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,市外,小学1〜3年生,https://www.gururich-kitaq.com/search?q=到津の森公園,10,1,,,9,10,9,20,南北交流プログラム実行委員会,無料,
94,ソラランド平尾台 昆虫採集,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,門司区,その他,https://www.gururich-kitaq.com/search?q=ソラランド平尾台,11,5,,,,,,,北九州市観光協会,無料,
95,皿倉山 工作教室,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,門司区,未就学児,https://www.gururich-kitaq.com/search?q=皿倉山,9,12,,,,,,,北九州市観光協会,無料,
96,響灘緑地グリーンパーク プログラミング体験,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,若松区,高校生,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,10,24,10,26,9,15,9,25,北九州市（マーケティング課）,無料,
97,ソラランド平尾台 工作教室,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,小倉南区,高校生,https://www.gururich-kitaq.com/search?q=ソラランド平尾台,10,2,,,9,4,9,14,,子ども無料、大人500円,
98,響灘緑地グリーンパーク アスレチックチャレンジ,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,戸畑区,中学生,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,9,6,9,8,8,4,8,14,,500円,
99,皿倉山 お料理教室,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,門司区,未就学児,https://www.gururich-kitaq.com/search?q=皿倉山,10,25,,,9,10,9,20,北九州市（マーケティング課）,無料,
100,ソラランド平尾台 バックヤードツアー,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,市外,高校生,https://www.gururich-kitaq.com/search?q=ソラランド平尾台,10,13,10,15,9,2,9,12,南北交流プログラム実行委員会,1000円,
101,皿倉山 星空観察会,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,小倉南区,小学1〜3年生,https://www.gururich-kitaq.com/search?q=皿倉山,11,5,11,8,10,6,10,16,西レシピプロジェクト,無料,
